File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 3.0000
104.bpp, 30.0000
11.bpp, 1.9677
110.bpp, 0.1282
117.bpp, 0.4516
119.bpp, 1.3333
135.bpp, 3.6400
14.bpp, 4.6000
141.bpp, 6.7500
143.bpp, 5.1538
145.bpp, 2.5000
151.bpp, 2.0000
168.bpp, 2.8214
17.bpp, 1.7619
173.bpp, 4.0000
178.bpp, 1.4167
179.bpp, 0.5294
18.bpp, 2.8462
184.bpp, 0.6410
194.bpp, 3.8571
197.bpp, 5.7917
202.bpp, 0.1081
208.bpp, 7.3750
210.bpp, 3.5000
215.bpp, 1.6667
223.bpp, 1.8000
226.bpp, 3.9000
229.bpp, 1.2667
233.bpp, 5.9000
237.bpp, 5.5000
239.bpp, 0.8182
240.bpp, 1.6667
244.bpp, 0.6129
246.bpp, 6.2857
255.bpp, 3.4444
256.bpp, 2.0667
261.bpp, 1.5769
262.bpp, 1.5500
264.bpp, 5.8000
292.bpp, 0.1429
294.bpp, 3.4667
307.bpp, 4.9091
31.bpp, 3.1250
310.bpp, 0.6316
311.bpp, 4.8000
317.bpp, 0.8065
326.bpp, 2.3750
327.bpp, 3.3750
330.bpp, 1.1000
332.bpp, 21.0000
337.bpp, 4.1111
348.bpp, 0.8750
357.bpp, 11.0000
358.bpp, 3.2500
359.bpp, 2.0800
36.bpp, 18.0000
363.bpp, 9.5000
366.bpp, 1.0000
368.bpp, 3.6000
380.bpp, 28.0000
385.bpp, 1.2778
394.bpp, 2.1000
401.bpp, 3.8947
409.bpp, 0.6429
41.bpp, 3.3333
410.bpp, 4.6000
433.bpp, 0.9444
438.bpp, 5.1333
441.bpp, 2.5000
443.bpp, 11.0000
447.bpp, 5.0000
449.bpp, 0.3333
452.bpp, 3.8571
47.bpp, 1.2778
470.bpp, 3.8261
473.bpp, 3.0000
478.bpp, 1.0357
483.bpp, 1.5455
484.bpp, 1.0667
488.bpp, 3.5000
489.bpp, 1.9615
492.bpp, 4.6250
5.bpp, 3.0417
50.bpp, 3.8750
55.bpp, 4.0000
58.bpp, 3.5556
59.bpp, 2.0500
6.bpp, 4.2500
63.bpp, 1.7500
7.bpp, 3.0000
71.bpp, 0.3793
72.bpp, 1.5000
78.bpp, 2.6250
80.bpp, 3.4118
81.bpp, 3.0000
83.bpp, 3.0000
87.bpp, 2.1000
97.bpp, 2.5000
99.bpp, 4.4091
